,id,label
0,"('data/Asian/m.0g5rq7d/m.0g5rq7d_0001.jpg', 'data/Asian/m.0g5rq7d/m.0g5rq7d_0003.jpg')","('data/Asian/m.0g5rq7d/m.0g5rq7d_0001.jpg', 'data/Asian/m.0g5rq7d/m.0g5rq7d_0003.jpg')"
1,"('data/Asian/m.06nvhd/m.06nvhd_0002.jpg', 'data/Asian/m.06nvhd/m.06nvhd_0001.jpg')","('data/Asian/m.06nvhd/m.06nvhd_0002.jpg', 'data/Asian/m.06nvhd/m.06nvhd_0001.jpg')"
2,"('data/Asian/m.02qqvtq/m.02qqvtq_0001.jpg', 'data/Asian/m.02qqvtq/m.02qqvtq_0003.jpg')","('data/Asian/m.02qqvtq/m.02qqvtq_0001.jpg', 'data/Asian/m.02qqvtq/m.02qqvtq_0003.jpg')"
3,"('data/Asian/m.026qzs/m.026qzs_0001.jpg', 'data/Asian/m.026qzs/m.026qzs_0003.jpg')","('data/Asian/m.026qzs/m.026qzs_0001.jpg', 'data/Asian/m.026qzs/m.026qzs_0003.jpg')"
4,"('data/Asian/m.04cwdp7/m.04cwdp7_0002.jpg', 'data/Asian/m.04cwdp7/m.04cwdp7_0001.jpg')","('data/Asian/m.04cwdp7/m.04cwdp7_0002.jpg', 'data/Asian/m.04cwdp7/m.04cwdp7_0001.jpg')"
5,"('data/Asian/m.09v24nn/m.09v24nn_0002.jpg', 'data/Asian/m.09v24nn/m.09v24nn_0005.jpg')","('data/Asian/m.09v24nn/m.09v24nn_0002.jpg', 'data/Asian/m.09v24nn/m.09v24nn_0005.jpg')"
6,"('data/Asian/m.06b6t_/m.06b6t__0002.jpg', 'data/Asian/m.06b6t_/m.06b6t__0003.jpg')","('data/Asian/m.06b6t_/m.06b6t__0002.jpg', 'data/Asian/m.06b6t_/m.06b6t__0003.jpg')"
7,"('data/Asian/m.01phkvc/m.01phkvc_0004.jpg', 'data/Asian/m.01phkvc/m.01phkvc_0001.jpg')","('data/Asian/m.01phkvc/m.01phkvc_0004.jpg', 'data/Asian/m.01phkvc/m.01phkvc_0001.jpg')"
8,"('data/Asian/m.01x143l/m.01x143l_0003.jpg', 'data/Asian/m.01x143l/m.01x143l_0001.jpg')","('data/Asian/m.01x143l/m.01x143l_0003.jpg', 'data/Asian/m.01x143l/m.01x143l_0001.jpg')"
9,"('data/Asian/m.019h_b/m.019h_b_0005.jpg', 'data/Asian/m.019h_b/m.019h_b_0004.jpg')","('data/Asian/m.019h_b/m.019h_b_0005.jpg', 'data/Asian/m.019h_b/m.019h_b_0004.jpg')"
